,sr_no,prob,label,desc,source
112,105,84.24%,1,This text is most likely written by an Human,human
113,106,84.13%,1,This text is most likely written by an Human,human
114,107,76.28%,1,This text is most likely written by an Human,human
115,108,87.09%,1,This text is most likely written by an Human,human
116,109,76.31%,1,This text is most likely written by an Human,human
117,110,86.81%,1,This text is most likely written by an Human,human
118,111,79.28%,1,This text is most likely written by an Human,human
119,112,94.69%,1,This text is most likely written by an Human,human
120,113,70.41%,1,This text is most likely written by an Human,human
121,114,78.16%,1,This text is most likely written by an Human,human
122,1141,83.81%,1,This text is most likely written by an Human,human
123,115,82.72%,1,This text is most likely written by an Human,human
124,1151,53.30%,1,This text is most likely written by an Human,human
125,116,80.42%,1,This text is most likely written by an Human,human
126,117,83.37%,1,This text is most likely written by an Human,human
127,118,85.25%,1,This text is most likely written by an Human,human
128,119,71.64%,1,This text is most likely written by an Human,human
129,120,77.98%,1,This text is most likely written by an Human,human
130,121,83.26%,1,This text is most likely written by an Human,human
131,122,67.96%,1,This text is most likely written by an Human,human
132,123,80.11%,1,This text is most likely written by an Human,human
133,124,83.22%,1,This text is most likely written by an Human,human
134,125,92.02%,1,This text is most likely written by an Human,human
135,126,86.48%,1,This text is most likely written by an Human,human
136,127,88.05%,1,This text is most likely written by an Human,human
137,128,78.40%,1,This text is most likely written by an Human,human
138,129,78.61%,1,This text is most likely written by an Human,human
139,130,90.53%,1,This text is most likely written by an Human,human
140,131,89.45%,1,This text is most likely written by an Human,human
141,132,87.52%,1,This text is most likely written by an Human,human
142,133,81.92%,1,This text is most likely written by an Human,human
143,134,92.64%,1,This text is most likely written by an Human,human
144,135,74.22%,1,This text is most likely written by an Human,human
145,137,87.67%,1,This text is most likely written by an Human,human
146,136,77.14%,1,This text is most likely written by an Human,human
147,138,73.07%,1,This text is most likely written by an Human,human
148,139,79.46%,1,This text is most likely written by an Human,human
149,140,80.39%,1,This text is most likely written by an Human,human
150,141,73.07%,1,This text is most likely written by an Human,human
151,1421,77.46%,1,This text is most likely written by an Human,human
152,1422,76.46%,1,This text is most likely written by an Human,human
153,143,70.91%,1,This text is most likely written by an Human,human
154,144,74.63%,1,This text is most likely written by an Human,human
155,145,75.19%,1,This text is most likely written by an Human,human
156,146,96.87%,1,This text is most likely written by an Human,human
157,147,86.87%,1,This text is most likely written by an Human,human
158,148,81.88%,1,This text is most likely written by an Human,human
159,1491,88.60%,1,This text is most likely written by an Human,human
160,1492,96.57%,1,This text is most likely written by an Human,human
161,150,84.15%,1,This text is most likely written by an Human,human
162,1511,88.55%,1,This text is most likely written by an Human,human
163,1512,95.04%,1,This text is most likely written by an Human,human
164,152,87.33%,1,This text is most likely written by an Human,human
165,1531,59.91%,1,This text is most likely written by an Human,human
166,1532,77.05%,1,This text is most likely written by an Human,human
167,154,86.66%,1,This text is most likely written by an Human,human
168,155,88.79%,1,This text is most likely written by an Human,human
169,156,77.02%,1,This text is most likely written by an Human,human
170,157,58.60%,1,This text is most likely written by an Human,human
171,158,68.63%,1,This text is most likely written by an Human,human
172,159,70.90%,1,This text is most likely written by an Human,human
173,160,85.07%,1,This text is most likely written by an Human,human
174,161,65.04%,1,This text is most likely written by an Human,human
175,162,82.75%,1,This text is most likely written by an Human,human
176,163,82.29%,1,This text is most likely written by an Human,human
177,164,75.19%,1,This text is most likely written by an Human,human
178,165,55.38%,1,This text is most likely written by an Human,human
179,166,81.28%,1,This text is most likely written by an Human,human
180,167,81.10%,1,This text is most likely written by an Human,human
181,168,92.77%,1,This text is most likely written by an Human,human
182,169,86.25%,1,This text is most likely written by an Human,human
183,61,50.58%,0,This text is most likely generated by an A.I.,chatgpt
184,67,56.89%,0,This text is most likely generated by an A.I.,chatgpt
185,66,56.24%,0,This text is most likely generated by an A.I.,chatgpt
186,65,53.14%,0,This text is most likely generated by an A.I.,chatgpt
187,64,63.59%,1,This text is most likely written by an Human,chatgpt
188,63,62.13%,1,This text is most likely written by an Human,chatgpt
189,62,50.93%,0,This text is most likely generated by an A.I.,chatgpt
190,60,51.24%,1,This text is most likely written by an Human,chatgpt
191,81,54.33%,1,This text is most likely written by an Human,chatgpt
192,82,55.15%,0,This text is most likely generated by an A.I.,chatgpt
193,78,57.31%,1,This text is most likely written by an Human,chatgpt
194,76,57.58%,0,This text is most likely generated by an A.I.,chatgpt
195,75,56.40%,1,This text is most likely written by an Human,chatgpt
196,70,56.53%,1,This text is most likely written by an Human,chatgpt
197,72,51.85%,0,This text is most likely generated by an A.I.,chatgpt
198,77,57.90%,1,This text is most likely written by an Human,chatgpt
199,73,55.83%,0,This text is most likely generated by an A.I.,chatgpt
200,69,66.67%,0,This text is most likely generated by an A.I.,chatgpt
201,71,61.68%,1,This text is most likely written by an Human,chatgpt
202,74,54.03%,0,This text is most likely generated by an A.I.,chatgpt
203,46,56.75%,1,This text is most likely written by an Human,chatgpt
204,40,51.19%,0,This text is most likely generated by an A.I.,chatgpt
205,43,56.60%,1,This text is most likely written by an Human,chatgpt
206,37,53.45%,0,This text is most likely generated by an A.I.,chatgpt
207,44,58.78%,0,This text is most likely generated by an A.I.,chatgpt
208,45,53.28%,1,This text is most likely written by an Human,chatgpt
209,39,54.26%,1,This text is most likely written by an Human,chatgpt
210,41,50.06%,0,This text is most likely generated by an A.I.,chatgpt
211,42,57.06%,1,This text is most likely written by an Human,chatgpt
212,68,51.20%,0,This text is most likely generated by an A.I.,chatgpt
213,55,55.92%,1,This text is most likely written by an Human,chatgpt
214,53,51.65%,1,This text is most likely written by an Human,chatgpt
215,51,64.16%,0,This text is most likely generated by an A.I.,chatgpt
216,49,56.46%,1,This text is most likely written by an Human,chatgpt
217,54,70.92%,0,This text is most likely generated by an A.I.,chatgpt
218,57,61.62%,1,This text is most likely written by an Human,chatgpt
219,56,62.98%,1,This text is most likely written by an Human,chatgpt
220,52,57.01%,1,This text is most likely written by an Human,chatgpt
221,50,64.13%,1,This text is most likely written by an Human,chatgpt
222,14,57.18%,0,This text is most likely generated by an A.I.,chatgpt
223,15,82.15%,1,This text is most likely written by an Human,chatgpt
224,9,59.07%,1,This text is most likely written by an Human,chatgpt
225,6,59.47%,1,This text is most likely written by an Human,chatgpt
226,10,58.70%,1,This text is most likely written by an Human,chatgpt
227,8,63.33%,1,This text is most likely written by an Human,chatgpt
228,12,51.56%,0,This text is most likely generated by an A.I.,chatgpt
229,5,54.47%,0,This text is most likely generated by an A.I.,chatgpt
230,7,54.38%,1,This text is most likely written by an Human,chatgpt
231,31,68.07%,1,This text is most likely written by an Human,chatgpt
232,29,85.53%,1,This text is most likely written by an Human,chatgpt
233,32,56.98%,0,This text is most likely generated by an A.I.,chatgpt
234,35,59.45%,1,This text is most likely written by an Human,chatgpt
235,33,70.92%,0,This text is most likely generated by an A.I.,chatgpt
236,30,51.68%,1,This text is most likely written by an Human,chatgpt
237,26,50.63%,0,This text is most likely generated by an A.I.,chatgpt
238,28,50.19%,0,This text is most likely generated by an A.I.,chatgpt
239,34,50.26%,1,This text is most likely written by an Human,chatgpt
240,10001,61.73%,1,This text is most likely written by an Human,chatgpt
241,10002,50.48%,0,This text is most likely generated by an A.I.,chatgpt
242,2,58.50%,0,This text is most likely generated by an A.I.,chatgpt
243,3,65.32%,1,This text is most likely written by an Human,chatgpt
244,4,64.58%,1,This text is most likely written by an Human,chatgpt
245,11001,53.68%,1,This text is most likely written by an Human,chatgpt
246,11002,58.47%,1,This text is most likely written by an Human,chatgpt
247,13001,56.60%,0,This text is most likely generated by an A.I.,chatgpt
248,13002,56.61%,0,This text is most likely generated by an A.I.,chatgpt
249,16,58.49%,0,This text is most likely generated by an A.I.,chatgpt
250,17,68.62%,1,This text is most likely written by an Human,chatgpt
251,18,62.54%,0,This text is most likely generated by an A.I.,chatgpt
252,19,66.88%,0,This text is most likely generated by an A.I.,chatgpt
253,20,63.89%,1,This text is most likely written by an Human,chatgpt
254,21,60.48%,1,This text is most likely written by an Human,chatgpt
255,22,53.89%,1,This text is most likely written by an Human,chatgpt
256,23,64.45%,0,This text is most likely generated by an A.I.,chatgpt
257,24,63.39%,0,This text is most likely generated by an A.I.,chatgpt
258,25,57.48%,1,This text is most likely written by an Human,chatgpt
259,27,54.26%,0,This text is most likely generated by an A.I.,chatgpt
260,0,57.91%,1,This text is most likely written by an Human,chatgpt
261,36,50.68%,0,This text is most likely generated by an A.I.,chatgpt
262,38001,85.90%,1,This text is most likely written by an Human,chatgpt
263,38002,56.11%,1,This text is most likely written by an Human,chatgpt
264,47,54.51%,1,This text is most likely written by an Human,chatgpt
265,48001,79.77%,1,This text is most likely written by an Human,chatgpt
266,48002,59.58%,1,This text is most likely written by an Human,chatgpt
267,58,50.30%,0,This text is most likely generated by an A.I.,chatgpt
268,59,57.65%,1,This text is most likely written by an Human,chatgpt
269,83,52.26%,1,This text is most likely written by an Human,chatgpt
270,84,52.21%,1,This text is most likely written by an Human,chatgpt
271,85,53.90%,1,This text is most likely written by an Human,chatgpt
272,86,67.98%,1,This text is most likely written by an Human,chatgpt
273,87,52.17%,1,This text is most likely written by an Human,chatgpt
274,88,55.75%,1,This text is most likely written by an Human,chatgpt
275,89,63.13%,1,This text is most likely written by an Human,chatgpt
276,90,64.67%,0,This text is most likely generated by an A.I.,chatgpt
277,91,55.88%,0,This text is most likely generated by an A.I.,chatgpt
278,92,52.26%,1,This text is most likely written by an Human,chatgpt
279,93,81.39%,0,This text is most likely generated by an A.I.,chatgpt
280,94,52.81%,0,This text is most likely generated by an A.I.,chatgpt
281,95,53.57%,0,This text is most likely generated by an A.I.,chatgpt
282,96001,72.18%,1,This text is most likely written by an Human,chatgpt
283,96002,52.09%,0,This text is most likely generated by an A.I.,chatgpt
284,97,51.17%,0,This text is most likely generated by an A.I.,chatgpt
285,98,70.07%,1,This text is most likely written by an Human,chatgpt
286,99,64.41%,0,This text is most likely generated by an A.I.,chatgpt
287,100,52.68%,1,This text is most likely written by an Human,chatgpt
288,101,52.92%,1,This text is most likely written by an Human,chatgpt
289,1021,53.73%,0,This text is most likely generated by an A.I.,chatgpt
290,1022,62.88%,0,This text is most likely generated by an A.I.,chatgpt
291,1031,63.71%,1,This text is most likely written by an Human,chatgpt
292,1032,57.06%,0,This text is most likely generated by an A.I.,chatgpt
293,1041,57.59%,0,This text is most likely generated by an A.I.,chatgpt
294,1042,58.09%,0,This text is most likely generated by an A.I.,chatgpt
295,105,68.55%,1,This text is most likely written by an Human,chatgpt
296,106,65.60%,1,This text is most likely written by an Human,chatgpt
297,107,58.18%,1,This text is most likely written by an Human,chatgpt
298,108,64.70%,0,This text is most likely generated by an A.I.,chatgpt
299,109,65.09%,0,This text is most likely generated by an A.I.,chatgpt
300,110,61.48%,1,This text is most likely written by an Human,chatgpt
301,111,56.98%,1,This text is most likely written by an Human,chatgpt
302,112,60.42%,1,This text is most likely written by an Human,chatgpt
303,113,58.15%,1,This text is most likely written by an Human,chatgpt
304,114,56.12%,0,This text is most likely generated by an A.I.,chatgpt
305,1141,88.75%,1,This text is most likely written by an Human,chatgpt
306,115,55.89%,1,This text is most likely written by an Human,chatgpt
307,1151,80.13%,1,This text is most likely written by an Human,chatgpt
308,116,71.00%,0,This text is most likely generated by an A.I.,chatgpt
309,117,54.33%,0,This text is most likely generated by an A.I.,chatgpt
310,118,60.14%,0,This text is most likely generated by an A.I.,chatgpt
311,119,72.58%,0,This text is most likely generated by an A.I.,chatgpt
312,120,62.77%,1,This text is most likely written by an Human,chatgpt
313,121,50.32%,0,This text is most likely generated by an A.I.,chatgpt
314,122,54.63%,0,This text is most likely generated by an A.I.,chatgpt
315,123,65.81%,1,This text is most likely written by an Human,chatgpt
316,124,57.87%,1,This text is most likely written by an Human,chatgpt
317,125,71.38%,1,This text is most likely written by an Human,chatgpt
318,126,57.09%,1,This text is most likely written by an Human,chatgpt
319,127,56.08%,1,This text is most likely written by an Human,chatgpt
320,128,59.81%,1,This text is most likely written by an Human,chatgpt
321,129,61.34%,1,This text is most likely written by an Human,chatgpt
322,130,53.32%,0,This text is most likely generated by an A.I.,chatgpt
323,131,53.69%,0,This text is most likely generated by an A.I.,chatgpt
324,132,60.61%,1,This text is most likely written by an Human,chatgpt
325,133,57.89%,0,This text is most likely generated by an A.I.,chatgpt
326,134,57.34%,1,This text is most likely written by an Human,chatgpt
327,135,66.41%,1,This text is most likely written by an Human,chatgpt
328,136,64.22%,1,This text is most likely written by an Human,chatgpt
329,137,53.67%,0,This text is most likely generated by an A.I.,chatgpt
330,138,57.94%,1,This text is most likely written by an Human,chatgpt
331,139,59.62%,1,This text is most likely written by an Human,chatgpt
332,140,56.31%,0,This text is most likely generated by an A.I.,chatgpt
333,141,59.07%,0,This text is most likely generated by an A.I.,chatgpt
334,1421,63.20%,1,This text is most likely written by an Human,chatgpt
335,1422,61.33%,0,This text is most likely generated by an A.I.,chatgpt
336,143,52.26%,1,This text is most likely written by an Human,chatgpt
337,144,50.12%,1,This text is most likely written by an Human,chatgpt
338,145,57.97%,0,This text is most likely generated by an A.I.,chatgpt
339,146,54.29%,0,This text is most likely generated by an A.I.,chatgpt
340,147,57.12%,1,This text is most likely written by an Human,chatgpt
341,148,68.84%,1,This text is most likely written by an Human,chatgpt
342,1491,73.02%,1,This text is most likely written by an Human,chatgpt
343,1492,57.70%,1,This text is most likely written by an Human,chatgpt
344,150,50.07%,0,This text is most likely generated by an A.I.,chatgpt
345,1511,83.92%,1,This text is most likely written by an Human,chatgpt
346,1512,60.14%,0,This text is most likely generated by an A.I.,chatgpt
347,152,59.09%,1,This text is most likely written by an Human,chatgpt
348,1531,59.42%,1,This text is most likely written by an Human,chatgpt
349,1532,51.24%,0,This text is most likely generated by an A.I.,chatgpt
350,154,62.75%,1,This text is most likely written by an Human,chatgpt
351,155,50.97%,0,This text is most likely generated by an A.I.,chatgpt
352,156,51.57%,0,This text is most likely generated by an A.I.,chatgpt
353,157,59.89%,1,This text is most likely written by an Human,chatgpt
354,158,51.82%,1,This text is most likely written by an Human,chatgpt
355,159,52.95%,1,This text is most likely written by an Human,chatgpt
356,160,55.94%,1,This text is most likely written by an Human,chatgpt
357,161,55.61%,0,This text is most likely generated by an A.I.,chatgpt
358,162,51.56%,1,This text is most likely written by an Human,chatgpt
359,163,69.75%,1,This text is most likely written by an Human,chatgpt
360,164,69.22%,1,This text is most likely written by an Human,chatgpt
361,165,61.71%,0,This text is most likely generated by an A.I.,chatgpt
362,166,57.96%,1,This text is most likely written by an Human,chatgpt
363,167,62.34%,1,This text is most likely written by an Human,chatgpt
364,168,52.08%,1,This text is most likely written by an Human,chatgpt
365,169,62.82%,1,This text is most likely written by an Human,chatgpt
