,sr_no,Perplexity,Perplexity per line,Burstiness,label,desc,source
83,59,5,18.166666666666668,46,0,The Text is generated by AI.,chatgpt
84,83,7,19.0,48,0,The Text is generated by AI.,chatgpt
85,84,5,26.571428571428573,109,0,The Text is generated by AI.,chatgpt
86,85,8,19.636363636363637,52,0,The Text is generated by AI.,chatgpt
87,86,7,41.705882352941174,205,0,The Text is generated by AI.,chatgpt
88,87,7,39.0,324,0,The Text is generated by AI.,chatgpt
89,88,7,30.058823529411764,72,0,The Text is generated by AI.,chatgpt
90,89,5,29.76923076923077,80,0,The Text is generated by AI.,chatgpt
91,90,7,20.5625,114,0,The Text is generated by AI.,chatgpt
92,91,5,19.25,90,0,The Text is generated by AI.,chatgpt
93,92,7,19.166666666666668,62,0,The Text is generated by AI.,chatgpt
94,93,7,30.681818181818183,266,0,The Text is generated by AI.,chatgpt
95,94,8,21.23076923076923,79,0,The Text is generated by AI.,chatgpt
96,95,6,18.2,60,0,The Text is generated by AI.,chatgpt
97,96001,9,26.68421052631579,123,0,The Text is generated by AI.,chatgpt
98,96002,4,8.818181818181818,13,0,The Text is generated by AI.,chatgpt
99,97,9,20.0,41,0,The Text is generated by AI.,chatgpt
100,98,4,21.523809523809526,74,0,The Text is generated by AI.,chatgpt
101,99,8,20.0,59,0,The Text is generated by AI.,chatgpt
102,100,7,25.833333333333332,131,0,The Text is generated by AI.,chatgpt
103,101,6,19.714285714285715,60,0,The Text is generated by AI.,chatgpt
104,1021,6,17.153846153846153,61,0,The Text is generated by AI.,chatgpt
105,1022,9,26.6,55,0,The Text is generated by AI.,chatgpt
106,1031,8,33.0,109,0,The Text is generated by AI.,chatgpt
107,1032,7,22.307692307692307,60,0,The Text is generated by AI.,chatgpt
108,1041,7,22.857142857142858,56,0,The Text is generated by AI.,chatgpt
109,1042,8,37.1764705882353,133,0,The Text is generated by AI.,chatgpt
110,105,8,24.636363636363637,48,0,The Text is generated by AI.,chatgpt
111,106,5,20.88235294117647,47,0,The Text is generated by AI.,chatgpt
112,107,8,27.916666666666668,77,0,The Text is generated by AI.,chatgpt
113,108,6,24.68421052631579,88,0,The Text is generated by AI.,chatgpt
114,109,7,21.3125,63,0,The Text is generated by AI.,chatgpt
115,110,10,33.666666666666664,98,0,The Text is generated by AI.,chatgpt
116,111,10,39.388888888888886,126,0,The Text is generated by AI.,chatgpt
117,112,6,19.857142857142858,43,0,The Text is generated by AI.,chatgpt
118,113,7,28.176470588235293,61,0,The Text is generated by AI.,chatgpt
119,114,10,35.63157894736842,109,0,The Text is generated by AI.,chatgpt
120,1141,28,49.46153846153846,97,0,The Text is generated by AI.,chatgpt
121,115,9,53.31578947368421,510,0,The Text is generated by AI.,chatgpt
122,1151,16,36.142857142857146,82,0,The Text is generated by AI.,chatgpt
123,116,5,19.88888888888889,49,0,The Text is generated by AI.,chatgpt
124,117,8,21.6875,64,0,The Text is generated by AI.,chatgpt
125,118,4,11.789473684210526,26,0,The Text is generated by AI.,chatgpt
126,119,7,17.2,50,0,The Text is generated by AI.,chatgpt
127,120,8,25.6,67,0,The Text is generated by AI.,chatgpt
128,121,9,29.857142857142858,113,0,The Text is generated by AI.,chatgpt
129,122,9,43.30769230769231,196,0,The Text is generated by AI.,chatgpt
130,123,6,18.8125,51,0,The Text is generated by AI.,chatgpt
131,124,8,50.95238095238095,156,0,The Text is generated by AI.,chatgpt
132,125,6,22.428571428571427,52,0,The Text is generated by AI.,chatgpt
133,126,6,36.285714285714285,112,0,The Text is generated by AI.,chatgpt
134,127,8,22.77777777777778,102,0,The Text is generated by AI.,chatgpt
135,128,6,20.133333333333333,36,0,The Text is generated by AI.,chatgpt
136,129,8,23.933333333333334,61,0,The Text is generated by AI.,chatgpt
137,130,8,49.23076923076923,297,0,The Text is generated by AI.,chatgpt
138,131,10,30.0,55,0,The Text is generated by AI.,chatgpt
139,132,5,17.545454545454547,27,0,The Text is generated by AI.,chatgpt
140,133,8,18.6875,33,0,The Text is generated by AI.,chatgpt
141,134,6,24.157894736842106,132,0,The Text is generated by AI.,chatgpt
142,135,7,19.928571428571427,48,0,The Text is generated by AI.,chatgpt
143,136,5,22.857142857142858,48,0,The Text is generated by AI.,chatgpt
144,137,9,39.714285714285715,252,0,The Text is generated by AI.,chatgpt
145,138,5,16.0,46,0,The Text is generated by AI.,chatgpt
146,139,8,30.666666666666668,95,0,The Text is generated by AI.,chatgpt
147,140,6,18.833333333333332,49,0,The Text is generated by AI.,chatgpt
148,141,6,16.071428571428573,39,0,The Text is generated by AI.,chatgpt
149,1421,18,57.1764705882353,226,0,The Text is generated by AI.,chatgpt
150,1422,9,25.058823529411764,70,0,The Text is generated by AI.,chatgpt
151,143,6,13.3,29,0,The Text is generated by AI.,chatgpt
152,144,5,13.588235294117647,34,0,The Text is generated by AI.,chatgpt
153,145,5,19.142857142857142,77,0,The Text is generated by AI.,chatgpt
154,146,7,22.933333333333334,81,0,The Text is generated by AI.,chatgpt
155,147,7,31.470588235294116,272,0,The Text is generated by AI.,chatgpt
156,148,8,35.21052631578947,144,0,The Text is generated by AI.,chatgpt
157,1491,12,38.0,141,0,The Text is generated by AI.,chatgpt
158,1492,8,22.133333333333333,56,0,The Text is generated by AI.,chatgpt
159,150,6,22.470588235294116,49,0,The Text is generated by AI.,chatgpt
160,1511,22,88.86666666666666,415,1,The Text is written by Human.,chatgpt
161,1512,10,29.0,92,0,The Text is generated by AI.,chatgpt
162,152,6,19.09090909090909,31,0,The Text is generated by AI.,chatgpt
163,1531,9,26.59090909090909,88,0,The Text is generated by AI.,chatgpt
164,1532,5,16.071428571428573,56,0,The Text is generated by AI.,chatgpt
165,154,4,19.6875,40,0,The Text is generated by AI.,chatgpt
166,155,6,20.166666666666668,36,0,The Text is generated by AI.,chatgpt
167,156,7,24.0,65,0,The Text is generated by AI.,chatgpt
168,157,5,19.352941176470587,40,0,The Text is generated by AI.,chatgpt
169,158,9,30.785714285714285,149,0,The Text is generated by AI.,chatgpt
170,159,9,32.5,97,0,The Text is generated by AI.,chatgpt
171,160,8,28.428571428571427,78,0,The Text is generated by AI.,chatgpt
172,161,10,33.6,112,0,The Text is generated by AI.,chatgpt
173,162,4,18.63157894736842,60,0,The Text is generated by AI.,chatgpt
174,163,7,28.72222222222222,89,0,The Text is generated by AI.,chatgpt
175,164,8,26.352941176470587,88,0,The Text is generated by AI.,chatgpt
176,165,7,21.736842105263158,55,0,The Text is generated by AI.,chatgpt
177,166,7,19.571428571428573,61,0,The Text is generated by AI.,chatgpt
178,167,7,25.25,94,0,The Text is generated by AI.,chatgpt
179,168,11,28.8,87,0,The Text is generated by AI.,chatgpt
180,169,7,19.46153846153846,37,0,The Text is generated by AI.,chatgpt
181,0,43,146.66666666666666,730,1,The Text is written by Human.,human
182,10001,22,48.23076923076923,111,0,The Text is generated by AI.,human
183,10002,27,59.09090909090909,173,0,The Text is generated by AI.,human
184,2,15,31.25,79,0,The Text is generated by AI.,human
185,3,18,61.22222222222222,253,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
186,4,16,45.91304347826087,140,0,The Text is generated by AI.,human
187,5,19,61.9375,152,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
188,6,17,41.53333333333333,106,0,The Text is generated by AI.,human
189,7,9,34.44444444444444,102,0,The Text is generated by AI.,human
190,8,28,181.3181818181818,698,1,The Text is written by Human.,human
191,9,20,49.9,103,0,The Text is generated by AI.,human
192,10,33,87.33333333333333,255,1,The Text is written by Human.,human
193,11001,8,27.894736842105264,55,0,The Text is generated by AI.,human
194,11002,12,43.0,138,0,The Text is generated by AI.,human
195,12,13,25.0625,54,0,The Text is generated by AI.,human
196,13001,9,41.0,147,0,The Text is generated by AI.,human
197,13002,22,111.0625,512,1,The Text is written by Human.,human
198,14,30,68.375,171,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
199,15,13,32.357142857142854,70,0,The Text is generated by AI.,human
200,16,12,33.666666666666664,105,0,The Text is generated by AI.,human
201,17,9,31.785714285714285,85,0,The Text is generated by AI.,human
202,18,22,47.791666666666664,189,0,The Text is generated by AI.,human
203,19,14,69.91666666666667,476,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
204,20,15,34.857142857142854,73,0,The Text is generated by AI.,human
205,21,16,82.2,423,1,The Text is written by Human.,human
206,22,33,82.6,326,1,The Text is written by Human.,human
207,23,18,42.0,95,0,The Text is generated by AI.,human
208,24,17,56.35294117647059,215,0,The Text is generated by AI.,human
209,25,14,33.625,69,0,The Text is generated by AI.,human
210,26,16,38.76923076923077,77,0,The Text is generated by AI.,human
211,27,17,37.266666666666666,105,0,The Text is generated by AI.,human
212,28,42,197.57894736842104,1859,1,The Text is written by Human.,human
213,29,28,42.93333333333333,82,0,The Text is generated by AI.,human
214,30,22,72.1304347826087,443,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
215,31,28,91.8125,330,1,The Text is written by Human.,human
216,32,12,26.714285714285715,66,0,The Text is generated by AI.,human
217,33,15,35.4375,73,0,The Text is generated by AI.,human
218,34,18,70.15789473684211,493,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
219,35,11,20.4,47,0,The Text is generated by AI.,human
220,36,31,412.55,3492,1,The Text is written by Human.,human
221,37,16,43.629629629629626,126,0,The Text is generated by AI.,human
222,38001,25,178.83333333333334,1576,1,The Text is written by Human.,human
223,38002,29,141.23529411764707,688,1,The Text is written by Human.,human
224,39,18,45.733333333333334,95,0,The Text is generated by AI.,human
225,40,17,48.07692307692308,114,0,The Text is generated by AI.,human
226,41,16,46.714285714285715,242,0,The Text is generated by AI.,human
227,42,39,145.3125,491,1,The Text is written by Human.,human
228,43,15,46.0,211,0,The Text is generated by AI.,human
229,44,22,49.06666666666667,174,0,The Text is generated by AI.,human
230,45,25,108.6842105263158,1110,1,The Text is written by Human.,human
231,46,16,164.11111111111111,1088,1,The Text is written by Human.,human
232,48001,10,47.64,191,0,The Text is generated by AI.,human
233,48002,12,51.666666666666664,158,0,The Text is generated by AI.,human
234,47,36,149.35714285714286,699,1,The Text is written by Human.,human
235,49,13,29.875,77,0,The Text is generated by AI.,human
236,50,12,27.416666666666668,49,0,The Text is generated by AI.,human
237,51,25,65.78947368421052,423,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
238,52,30,139.9375,824,1,The Text is written by Human.,human
239,53,39,127.24,601,1,The Text is written by Human.,human
240,54,17,77.05555555555556,461,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
241,55,12,34.80952380952381,129,0,The Text is generated by AI.,human
242,56,18,46.22222222222222,117,0,The Text is generated by AI.,human
243,57,19,56.9375,219,0,The Text is generated by AI.,human
244,58,18,43.8,90,0,The Text is generated by AI.,human
245,59,16,48.68421052631579,254,0,The Text is generated by AI.,human
246,60,12,34.80952380952381,129,0,The Text is generated by AI.,human
247,61,14,36.611111111111114,129,0,The Text is generated by AI.,human
248,62,18,43.416666666666664,139,0,The Text is generated by AI.,human
249,63,26,85.27272727272727,358,1,The Text is written by Human.,human
250,64,14,28.363636363636363,62,0,The Text is generated by AI.,human
251,65,14,33.43478260869565,71,0,The Text is generated by AI.,human
252,66,15,53.05555555555556,155,0,The Text is generated by AI.,human
253,67,12,34.0,117,0,The Text is generated by AI.,human
254,68,16,50.5,133,0,The Text is generated by AI.,human
255,69,14,25.933333333333334,57,0,The Text is generated by AI.,human
256,70,17,44.75,99,0,The Text is generated by AI.,human
257,71,16,32.18181818181818,63,0,The Text is generated by AI.,human
258,72,15,33.75,68,0,The Text is generated by AI.,human
259,73,15,33.9375,77,0,The Text is generated by AI.,human
260,74,16,76.11111111111111,338,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
261,75,16,41.625,156,0,The Text is generated by AI.,human
262,76,16,35.36842105263158,91,0,The Text is generated by AI.,human
263,77,11,26.705882352941178,83,0,The Text is generated by AI.,human
264,78,14,28.90909090909091,67,0,The Text is generated by AI.,human
265,81,30,72.425,189,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
266,82,18,41.90909090909091,105,0,The Text is generated by AI.,human
267,83,17,40.8125,141,0,The Text is generated by AI.,human
268,84,15,37.578947368421055,147,0,The Text is generated by AI.,human
269,85,17,35.25,93,0,The Text is generated by AI.,human
270,86,14,47.529411764705884,168,0,The Text is generated by AI.,human
271,87,21,99.41176470588235,322,1,The Text is written by Human.,human
272,88,15,46.9375,113,0,The Text is generated by AI.,human
273,89,21,90.88888888888889,737,1,The Text is written by Human.,human
274,90,20,54.208333333333336,247,0,The Text is generated by AI.,human
275,91,77,182.88888888888889,606,1,The Text is written by Human.,human
276,92,13,28.333333333333332,72,0,The Text is generated by AI.,human
277,93,18,57.57142857142857,135,0,The Text is generated by AI.,human
278,94,10,38.8,118,0,The Text is generated by AI.,human
279,95,11,21.571428571428573,35,0,The Text is generated by AI.,human
280,96001,12,33.285714285714285,83,0,The Text is generated by AI.,human
281,96002,14,28.636363636363637,58,0,The Text is generated by AI.,human
282,97,17,29.6,74,0,The Text is generated by AI.,human
283,98,11,24.733333333333334,40,0,The Text is generated by AI.,human
284,99,15,31.8,129,0,The Text is generated by AI.,human
285,100,33,72.375,131,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
286,101,13,35.888888888888886,78,0,The Text is generated by AI.,human
287,1021,16,41.142857142857146,115,0,The Text is generated by AI.,human
288,1022,15,46.65,205,0,The Text is generated by AI.,human
289,1032,15,46.5,206,0,The Text is generated by AI.,human
290,1031,15,117.9,1285,1,The Text is written by Human.,human
291,1041,15,62.22222222222222,187,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
292,1042,18,846.7391304347826,17961,1,The Text is written by Human.,human
293,105,11,41.88235294117647,101,0,The Text is generated by AI.,human
294,106,15,48.125,125,0,The Text is generated by AI.,human
295,107,15,204.85714285714286,2476,1,The Text is written by Human.,human
296,108,23,112.8,599,1,The Text is written by Human.,human
297,109,15,204.71428571428572,2476,1,The Text is written by Human.,human
298,110,19,56.0,187,0,The Text is generated by AI.,human
299,111,16,49.18518518518518,289,0,The Text is generated by AI.,human
300,112,26,66.75,224,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
301,113,18,54.38461538461539,210,0,The Text is generated by AI.,human
302,114,12,45.0,218,0,The Text is generated by AI.,human
303,1141,16,28.272727272727273,89,0,The Text is generated by AI.,human
304,115,28,93.33333333333333,346,1,The Text is written by Human.,human
305,1151,17,42.6,120,0,The Text is generated by AI.,human
306,116,19,52.34375,127,0,The Text is generated by AI.,human
307,117,24,89.77777777777777,336,1,The Text is written by Human.,human
308,118,17,50.07692307692308,301,0,The Text is generated by AI.,human
309,119,11,26.0,45,0,The Text is generated by AI.,human
310,120,15,27.923076923076923,54,0,The Text is generated by AI.,human
311,121,15,37.578947368421055,88,0,The Text is generated by AI.,human
312,122,19,40.666666666666664,112,0,The Text is generated by AI.,human
313,123,11,43.10526315789474,95,0,The Text is generated by AI.,human
314,124,13,28.63157894736842,91,0,The Text is generated by AI.,human
315,125,16,65.58823529411765,477,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
316,126,19,69.85,361,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
317,127,18,39.75,131,0,The Text is generated by AI.,human
318,128,29,56.5,249,0,The Text is generated by AI.,human
319,129,18,32.93333333333333,59,0,The Text is generated by AI.,human
320,130,21,89.23529411764706,681,1,The Text is written by Human.,human
321,131,18,58.10526315789474,270,0,The Text is generated by AI.,human
322,132,27,62.666666666666664,244,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
323,133,18,47.2,155,0,The Text is generated by AI.,human
324,134,19,84.3,573,1,The Text is written by Human.,human
325,135,13,29.647058823529413,75,0,The Text is generated by AI.,human
326,137,24,64.0,205,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
327,136,12,31.133333333333333,118,0,The Text is generated by AI.,human
328,138,11,19.666666666666668,40,0,The Text is generated by AI.,human
329,139,16,41.625,156,0,The Text is generated by AI.,human
330,140,23,53.90909090909091,111,0,The Text is generated by AI.,human
331,141,11,19.666666666666668,40,0,The Text is generated by AI.,human
332,1421,14,40.333333333333336,143,0,The Text is generated by AI.,human
333,1422,14,43.30434782608695,206,0,The Text is generated by AI.,human
334,143,15,45.05,257,0,The Text is generated by AI.,human
335,144,26,74.11111111111111,251,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
336,145,15,29.916666666666668,60,0,The Text is generated by AI.,human
337,146,77,369.2,2004,1,The Text is written by Human.,human
338,147,24,57.05263157894737,165,0,The Text is generated by AI.,human
339,148,16,42.34615384615385,100,0,The Text is generated by AI.,human
340,1491,15,164.58823529411765,2272,1,The Text is written by Human.,human
341,1492,47,116.85714285714286,439,1,The Text is written by Human.,human
342,150,23,48.23076923076923,111,0,The Text is generated by AI.,human
343,1511,17,154.21052631578948,2272,1,The Text is written by Human.,human
344,1512,44,167.4375,1286,1,The Text is written by Human.,human
345,152,23,52.09090909090909,95,0,The Text is generated by AI.,human
346,1531,18,39.470588235294116,82,0,The Text is generated by AI.,human
347,1532,15,97.73684210526316,961,1,The Text is written by Human.,human
348,154,23,102.04545454545455,469,1,The Text is written by Human.,human
349,155,23,43.5,146,0,The Text is generated by AI.,human
350,156,18,31.764705882352942,124,0,The Text is generated by AI.,human
351,157,14,48.92,161,0,The Text is generated by AI.,human
352,158,12,26.571428571428573,70,0,The Text is generated by AI.,human
353,159,14,37.81818181818182,72,0,The Text is generated by AI.,human
354,160,18,51.19047619047619,176,0,The Text is generated by AI.,human
355,161,12,17.555555555555557,30,0,The Text is generated by AI.,human
356,162,17,53.166666666666664,200,0,The Text is generated by AI.,human
357,163,23,57.46153846153846,133,0,The Text is generated by AI.,human
358,164,15,44.81818181818182,323,0,The Text is generated by AI.,human
359,165,10,89.31818181818181,401,1,The Text is written by Human.,human
360,166,17,47.77777777777778,208,0,The Text is generated by AI.,human
361,167,24,50.72727272727273,140,0,The Text is generated by AI.,human
362,168,31,118.52380952380952,950,1,The Text is written by Human.,human
363,169,19,34.0,72,0,The Text is generated by AI.,human
