,sr_no,prob,label,desc
100,4750,87.79%,1,This text is most likely written by an Human
101,13178,77.00%,1,This text is most likely written by an Human
102,8305,76.60%,1,This text is most likely written by an Human
103,401,55.42%,1,This text is most likely written by an Human
104,13550,86.22%,1,This text is most likely written by an Human
105,12978,73.32%,1,This text is most likely written by an Human
106,18129,82.87%,1,This text is most likely written by an Human
107,4600,54.32%,1,This text is most likely written by an Human
108,16188,76.93%,1,This text is most likely written by an Human
109,12838,90.59%,1,This text is most likely written by an Human
110,18606,91.90%,1,This text is most likely written by an Human
111,14039,87.76%,1,This text is most likely written by an Human
112,21133,64.10%,0,This text is most likely generated by an A.I.
113,10492,93.05%,1,This text is most likely written by an Human
114,12620,54.09%,0,This text is most likely generated by an A.I.
115,26054,87.17%,1,This text is most likely written by an Human
116,1477,57.11%,1,This text is most likely written by an Human
117,2031,79.40%,1,This text is most likely written by an Human
118,2564,68.29%,1,This text is most likely written by an Human
119,2643,62.21%,1,This text is most likely written by an Human
120,3120,73.42%,1,This text is most likely written by an Human
121,6544,87.01%,1,This text is most likely written by an Human
122,6648,67.22%,1,This text is most likely written by an Human
123,6918,75.34%,1,This text is most likely written by an Human
124,7168,76.09%,1,This text is most likely written by an Human
125,7187,53.40%,0,This text is most likely generated by an A.I.
126,7220,55.67%,1,This text is most likely written by an Human
127,7247,52.58%,1,This text is most likely written by an Human
128,8249,63.59%,1,This text is most likely written by an Human
129,8290,72.27%,1,This text is most likely written by an Human
130,8621,71.59%,1,This text is most likely written by an Human
131,10971,57.41%,0,This text is most likely generated by an A.I.
132,11634,60.50%,1,This text is most likely written by an Human
133,13867,60.72%,1,This text is most likely written by an Human
134,14866,50.20%,0,This text is most likely generated by an A.I.
135,15032,53.80%,1,This text is most likely written by an Human
136,15748,89.95%,1,This text is most likely written by an Human
137,15885,56.78%,1,This text is most likely written by an Human
138,18863,69.05%,1,This text is most likely written by an Human
139,19767,64.74%,1,This text is most likely written by an Human
140,20996,50.28%,0,This text is most likely generated by an A.I.
141,21989,62.25%,1,This text is most likely written by an Human
142,22889,58.26%,1,This text is most likely written by an Human
143,25574,61.63%,1,This text is most likely written by an Human
144,109,70.89%,1,This text is most likely written by an Human
145,382,53.11%,0,This text is most likely generated by an A.I.
146,681,67.46%,0,This text is most likely generated by an A.I.
147,1579,62.61%,0,This text is most likely generated by an A.I.
148,1606,56.70%,1,This text is most likely written by an Human
149,1619,51.44%,1,This text is most likely written by an Human
150,1751,59.64%,0,This text is most likely generated by an A.I.
151,2267,64.59%,1,This text is most likely written by an Human
152,2433,62.92%,0,This text is most likely generated by an A.I.
153,3018,50.41%,1,This text is most likely written by an Human
154,3208,52.10%,1,This text is most likely written by an Human
155,3211,65.61%,1,This text is most likely written by an Human
156,3255,53.60%,1,This text is most likely written by an Human
157,3397,56.66%,0,This text is most likely generated by an A.I.
158,3664,63.45%,1,This text is most likely written by an Human
159,4131,65.24%,1,This text is most likely written by an Human
160,4141,57.38%,1,This text is most likely written by an Human
161,4864,56.98%,1,This text is most likely written by an Human
162,5200,59.30%,1,This text is most likely written by an Human
163,5205,78.77%,1,This text is most likely written by an Human
164,6201,81.31%,1,This text is most likely written by an Human
165,6438,62.69%,1,This text is most likely written by an Human
166,6503,63.78%,1,This text is most likely written by an Human
167,6730,78.76%,1,This text is most likely written by an Human
168,7113,51.65%,1,This text is most likely written by an Human
169,7171,56.01%,1,This text is most likely written by an Human
170,7395,58.29%,0,This text is most likely generated by an A.I.
171,7430,78.54%,1,This text is most likely written by an Human
172,7453,67.80%,1,This text is most likely written by an Human
173,8416,53.97%,0,This text is most likely generated by an A.I.
174,9259,55.69%,1,This text is most likely written by an Human
175,9538,80.54%,1,This text is most likely written by an Human
176,9559,70.12%,1,This text is most likely written by an Human
177,10341,73.75%,0,This text is most likely generated by an A.I.
178,10899,69.36%,0,This text is most likely generated by an A.I.
179,11009,66.23%,1,This text is most likely written by an Human
180,11095,59.79%,1,This text is most likely written by an Human
181,11167,81.03%,1,This text is most likely written by an Human
182,11344,57.55%,1,This text is most likely written by an Human
183,11418,51.53%,1,This text is most likely written by an Human
184,11469,58.37%,1,This text is most likely written by an Human
185,11787,67.91%,1,This text is most likely written by an Human
186,11934,70.16%,1,This text is most likely written by an Human
187,12094,76.83%,1,This text is most likely written by an Human
188,12176,69.92%,1,This text is most likely written by an Human
189,12259,51.28%,1,This text is most likely written by an Human
190,12955,73.20%,1,This text is most likely written by an Human
191,13512,53.89%,1,This text is most likely written by an Human
192,13588,50.96%,0,This text is most likely generated by an A.I.
193,13767,81.82%,1,This text is most likely written by an Human
194,14257,56.14%,0,This text is most likely generated by an A.I.
195,15184,51.11%,0,This text is most likely generated by an A.I.
196,15756,57.26%,1,This text is most likely written by an Human
197,16229,64.70%,1,This text is most likely written by an Human
198,17386,69.25%,1,This text is most likely written by an Human
199,17584,52.83%,1,This text is most likely written by an Human
200,18058,82.09%,1,This text is most likely written by an Human
201,18060,72.66%,1,This text is most likely written by an Human
202,18068,72.37%,1,This text is most likely written by an Human
203,18086,59.22%,1,This text is most likely written by an Human
204,18331,83.19%,1,This text is most likely written by an Human
205,18334,80.77%,1,This text is most likely written by an Human
206,18400,53.92%,1,This text is most likely written by an Human
207,18790,75.61%,1,This text is most likely written by an Human
208,18930,70.51%,1,This text is most likely written by an Human
209,19391,61.82%,0,This text is most likely generated by an A.I.
210,19515,69.17%,1,This text is most likely written by an Human
211,19772,80.39%,1,This text is most likely written by an Human
212,20601,52.16%,0,This text is most likely generated by an A.I.
213,21206,59.38%,1,This text is most likely written by an Human
214,21865,53.60%,1,This text is most likely written by an Human
215,21917,59.84%,0,This text is most likely generated by an A.I.
216,22077,58.34%,0,This text is most likely generated by an A.I.
217,22453,59.95%,1,This text is most likely written by an Human
218,23035,76.33%,0,This text is most likely generated by an A.I.
219,23482,80.51%,1,This text is most likely written by an Human
220,23621,81.34%,1,This text is most likely written by an Human
221,23706,77.97%,1,This text is most likely written by an Human
222,23908,58.00%,1,This text is most likely written by an Human
223,24543,56.21%,1,This text is most likely written by an Human
224,25026,65.64%,1,This text is most likely written by an Human
225,25084,70.14%,1,This text is most likely written by an Human
226,25304,67.19%,0,This text is most likely generated by an A.I.
227,25613,63.66%,0,This text is most likely generated by an A.I.
228,26106,51.08%,0,This text is most likely generated by an A.I.
229,26376,71.40%,1,This text is most likely written by an Human
230,26584,71.58%,1,This text is most likely written by an Human
231,26689,60.09%,1,This text is most likely written by an Human
