,sr_no,prob,label,desc,source
59,2,84.83%,1,This text is most likely written by an Human,chatgpt
60,3,84.93%,1,This text is most likely written by an Human,chatgpt
61,4,69.36%,1,This text is most likely written by an Human,chatgpt
62,11001,73.75%,1,This text is most likely written by an Human,chatgpt
63,11002,84.85%,1,This text is most likely written by an Human,chatgpt
64,13001,71.00%,1,This text is most likely written by an Human,chatgpt
65,13002,76.74%,1,This text is most likely written by an Human,chatgpt
66,16,78.42%,1,This text is most likely written by an Human,chatgpt
67,17,65.70%,1,This text is most likely written by an Human,chatgpt
68,18,59.52%,1,This text is most likely written by an Human,chatgpt
69,19,66.24%,1,This text is most likely written by an Human,chatgpt
70,20,86.14%,1,This text is most likely written by an Human,chatgpt
71,21,72.32%,1,This text is most likely written by an Human,chatgpt
72,22,80.10%,1,This text is most likely written by an Human,chatgpt
73,23,53.84%,0,This text is most likely generated by an A.I.,chatgpt
74,24,68.71%,1,This text is most likely written by an Human,chatgpt
75,25,79.91%,1,This text is most likely written by an Human,chatgpt
76,27,52.53%,1,This text is most likely written by an Human,chatgpt
77,36,77.02%,1,This text is most likely written by an Human,chatgpt
78,38002,55.57%,1,This text is most likely written by an Human,chatgpt
79,47,74.41%,1,This text is most likely written by an Human,chatgpt
80,48001,77.66%,1,This text is most likely written by an Human,chatgpt
81,48002,91.65%,1,This text is most likely written by an Human,chatgpt
82,58,69.52%,1,This text is most likely written by an Human,chatgpt
83,59,77.37%,1,This text is most likely written by an Human,chatgpt
84,83,77.62%,1,This text is most likely written by an Human,chatgpt
85,84,72.32%,1,This text is most likely written by an Human,chatgpt
86,85,71.26%,1,This text is most likely written by an Human,chatgpt
87,86,72.93%,1,This text is most likely written by an Human,chatgpt
88,87,66.71%,1,This text is most likely written by an Human,chatgpt
89,88,56.36%,1,This text is most likely written by an Human,chatgpt
90,89,70.43%,1,This text is most likely written by an Human,chatgpt
91,90,57.23%,1,This text is most likely written by an Human,chatgpt
92,91,75.32%,1,This text is most likely written by an Human,chatgpt
93,92,71.35%,1,This text is most likely written by an Human,chatgpt
94,93,58.67%,1,This text is most likely written by an Human,chatgpt
95,94,80.01%,1,This text is most likely written by an Human,chatgpt
96,95,67.13%,1,This text is most likely written by an Human,chatgpt
97,96001,72.17%,1,This text is most likely written by an Human,chatgpt
98,96002,61.69%,0,This text is most likely generated by an A.I.,chatgpt
99,97,54.99%,1,This text is most likely written by an Human,chatgpt
100,98,73.73%,1,This text is most likely written by an Human,chatgpt
101,99,68.54%,1,This text is most likely written by an Human,chatgpt
102,100,80.17%,1,This text is most likely written by an Human,chatgpt
103,101,59.25%,1,This text is most likely written by an Human,chatgpt
104,1021,63.45%,1,This text is most likely written by an Human,chatgpt
105,1022,73.37%,1,This text is most likely written by an Human,chatgpt
106,1031,80.02%,1,This text is most likely written by an Human,chatgpt
107,1032,71.14%,1,This text is most likely written by an Human,chatgpt
108,1041,61.39%,1,This text is most likely written by an Human,chatgpt
109,1042,66.49%,1,This text is most likely written by an Human,chatgpt
110,105,78.94%,1,This text is most likely written by an Human,chatgpt
111,106,59.40%,1,This text is most likely written by an Human,chatgpt
112,107,61.37%,1,This text is most likely written by an Human,chatgpt
113,108,79.18%,1,This text is most likely written by an Human,chatgpt
114,109,57.66%,1,This text is most likely written by an Human,chatgpt
115,110,77.90%,1,This text is most likely written by an Human,chatgpt
116,111,82.06%,1,This text is most likely written by an Human,chatgpt
117,112,66.85%,1,This text is most likely written by an Human,chatgpt
118,113,79.59%,1,This text is most likely written by an Human,chatgpt
119,114,81.63%,1,This text is most likely written by an Human,chatgpt
120,1141,94.04%,1,This text is most likely written by an Human,chatgpt
121,115,72.17%,1,This text is most likely written by an Human,chatgpt
122,1151,85.84%,1,This text is most likely written by an Human,chatgpt
123,116,71.00%,0,This text is most likely generated by an A.I.,chatgpt
124,117,84.06%,1,This text is most likely written by an Human,chatgpt
125,118,56.45%,1,This text is most likely written by an Human,chatgpt
126,119,62.17%,1,This text is most likely written by an Human,chatgpt
127,120,66.08%,1,This text is most likely written by an Human,chatgpt
128,121,65.69%,1,This text is most likely written by an Human,chatgpt
129,122,69.27%,1,This text is most likely written by an Human,chatgpt
130,123,57.89%,1,This text is most likely written by an Human,chatgpt
131,124,66.28%,1,This text is most likely written by an Human,chatgpt
132,125,84.88%,1,This text is most likely written by an Human,chatgpt
133,126,84.18%,1,This text is most likely written by an Human,chatgpt
134,127,76.60%,1,This text is most likely written by an Human,chatgpt
135,128,74.83%,1,This text is most likely written by an Human,chatgpt
136,129,73.59%,1,This text is most likely written by an Human,chatgpt
137,130,67.27%,1,This text is most likely written by an Human,chatgpt
138,131,71.97%,1,This text is most likely written by an Human,chatgpt
139,132,70.79%,1,This text is most likely written by an Human,chatgpt
140,133,68.48%,1,This text is most likely written by an Human,chatgpt
141,134,57.04%,1,This text is most likely written by an Human,chatgpt
142,135,79.42%,1,This text is most likely written by an Human,chatgpt
143,136,71.30%,1,This text is most likely written by an Human,chatgpt
144,137,78.61%,1,This text is most likely written by an Human,chatgpt
145,138,54.99%,1,This text is most likely written by an Human,chatgpt
146,139,72.81%,1,This text is most likely written by an Human,chatgpt
147,140,76.28%,1,This text is most likely written by an Human,chatgpt
148,141,73.77%,1,This text is most likely written by an Human,chatgpt
149,1421,81.02%,1,This text is most likely written by an Human,chatgpt
150,1422,56.42%,1,This text is most likely written by an Human,chatgpt
151,143,70.12%,1,This text is most likely written by an Human,chatgpt
152,144,60.57%,1,This text is most likely written by an Human,chatgpt
153,145,72.30%,1,This text is most likely written by an Human,chatgpt
154,146,59.07%,1,This text is most likely written by an Human,chatgpt
155,147,71.24%,1,This text is most likely written by an Human,chatgpt
156,148,85.78%,1,This text is most likely written by an Human,chatgpt
157,1491,75.66%,1,This text is most likely written by an Human,chatgpt
158,1492,79.53%,1,This text is most likely written by an Human,chatgpt
159,150,69.03%,1,This text is most likely written by an Human,chatgpt
160,1511,82.87%,1,This text is most likely written by an Human,chatgpt
161,1512,68.51%,1,This text is most likely written by an Human,chatgpt
162,152,83.29%,1,This text is most likely written by an Human,chatgpt
163,1531,67.59%,1,This text is most likely written by an Human,chatgpt
164,1532,62.10%,1,This text is most likely written by an Human,chatgpt
165,154,89.05%,1,This text is most likely written by an Human,chatgpt
166,155,68.82%,1,This text is most likely written by an Human,chatgpt
167,156,80.69%,1,This text is most likely written by an Human,chatgpt
168,157,77.19%,1,This text is most likely written by an Human,chatgpt
169,158,81.14%,1,This text is most likely written by an Human,chatgpt
170,159,86.72%,1,This text is most likely written by an Human,chatgpt
171,160,79.52%,1,This text is most likely written by an Human,chatgpt
172,161,77.58%,1,This text is most likely written by an Human,chatgpt
173,162,65.22%,1,This text is most likely written by an Human,chatgpt
174,163,81.42%,1,This text is most likely written by an Human,chatgpt
175,164,86.97%,1,This text is most likely written by an Human,chatgpt
176,165,68.99%,1,This text is most likely written by an Human,chatgpt
177,166,73.50%,1,This text is most likely written by an Human,chatgpt
178,167,83.18%,1,This text is most likely written by an Human,chatgpt
179,168,77.65%,1,This text is most likely written by an Human,chatgpt
180,169,77.55%,1,This text is most likely written by an Human,chatgpt
181,0,91.55%,1,This text is most likely written by an Human,human
182,10001,82.32%,1,This text is most likely written by an Human,human
183,10002,91.36%,1,This text is most likely written by an Human,human
184,2,76.41%,1,This text is most likely written by an Human,human
185,3,91.24%,1,This text is most likely written by an Human,human
186,4,85.32%,1,This text is most likely written by an Human,human
187,5,78.93%,1,This text is most likely written by an Human,human
188,6,84.45%,1,This text is most likely written by an Human,human
189,7,85.86%,1,This text is most likely written by an Human,human
190,8,93.86%,1,This text is most likely written by an Human,human
191,9,81.68%,1,This text is most likely written by an Human,human
192,10,85.73%,1,This text is most likely written by an Human,human
193,11001,71.80%,1,This text is most likely written by an Human,human
194,11002,79.46%,1,This text is most likely written by an Human,human
195,12,57.48%,1,This text is most likely written by an Human,human
196,13001,57.62%,1,This text is most likely written by an Human,human
197,13002,88.36%,1,This text is most likely written by an Human,human
198,14,87.34%,1,This text is most likely written by an Human,human
199,15,77.45%,1,This text is most likely written by an Human,human
200,16,70.20%,1,This text is most likely written by an Human,human
201,17,69.84%,1,This text is most likely written by an Human,human
202,18,81.75%,1,This text is most likely written by an Human,human
203,19,65.69%,1,This text is most likely written by an Human,human
204,20,54.72%,1,This text is most likely written by an Human,human
205,21,89.05%,1,This text is most likely written by an Human,human
206,22,91.51%,1,This text is most likely written by an Human,human
207,23,78.31%,1,This text is most likely written by an Human,human
208,24,85.69%,1,This text is most likely written by an Human,human
209,25,76.76%,1,This text is most likely written by an Human,human
210,26,73.18%,1,This text is most likely written by an Human,human
211,27,87.86%,1,This text is most likely written by an Human,human
212,28,89.14%,1,This text is most likely written by an Human,human
213,29,86.63%,1,This text is most likely written by an Human,human
214,30,92.65%,1,This text is most likely written by an Human,human
215,31,92.45%,1,This text is most likely written by an Human,human
216,32,63.51%,1,This text is most likely written by an Human,human
217,33,66.61%,1,This text is most likely written by an Human,human
218,34,80.75%,1,This text is most likely written by an Human,human
219,35,56.87%,1,This text is most likely written by an Human,human
220,36,93.14%,1,This text is most likely written by an Human,human
221,37,85.53%,1,This text is most likely written by an Human,human
222,38001,79.80%,1,This text is most likely written by an Human,human
223,38002,95.78%,1,This text is most likely written by an Human,human
224,39,84.92%,1,This text is most likely written by an Human,human
225,40,70.86%,1,This text is most likely written by an Human,human
226,41,76.34%,1,This text is most likely written by an Human,human
227,42,95.33%,1,This text is most likely written by an Human,human
228,43,78.69%,1,This text is most likely written by an Human,human
229,44,87.79%,1,This text is most likely written by an Human,human
230,45,88.93%,1,This text is most likely written by an Human,human
231,46,79.71%,1,This text is most likely written by an Human,human
232,48001,66.13%,1,This text is most likely written by an Human,human
233,48002,67.00%,1,This text is most likely written by an Human,human
234,47,95.30%,1,This text is most likely written by an Human,human
235,49,60.82%,1,This text is most likely written by an Human,human
236,50,63.35%,1,This text is most likely written by an Human,human
237,51,93.91%,1,This text is most likely written by an Human,human
238,52,92.08%,1,This text is most likely written by an Human,human
239,53,95.23%,1,This text is most likely written by an Human,human
240,54,83.81%,1,This text is most likely written by an Human,human
241,55,76.71%,1,This text is most likely written by an Human,human
242,56,88.83%,1,This text is most likely written by an Human,human
243,57,91.47%,1,This text is most likely written by an Human,human
244,58,89.73%,1,This text is most likely written by an Human,human
245,59,69.58%,1,This text is most likely written by an Human,human
246,60,76.71%,1,This text is most likely written by an Human,human
247,61,87.17%,1,This text is most likely written by an Human,human
248,62,90.68%,1,This text is most likely written by an Human,human
249,63,94.88%,1,This text is most likely written by an Human,human
250,64,74.32%,1,This text is most likely written by an Human,human
251,65,84.94%,1,This text is most likely written by an Human,human
252,66,78.65%,1,This text is most likely written by an Human,human
253,67,71.78%,1,This text is most likely written by an Human,human
254,68,71.20%,1,This text is most likely written by an Human,human
255,69,69.55%,1,This text is most likely written by an Human,human
256,70,69.25%,1,This text is most likely written by an Human,human
257,71,64.14%,1,This text is most likely written by an Human,human
258,72,76.33%,1,This text is most likely written by an Human,human
259,73,84.39%,1,This text is most likely written by an Human,human
260,74,76.98%,1,This text is most likely written by an Human,human
261,75,79.46%,1,This text is most likely written by an Human,human
262,76,65.11%,1,This text is most likely written by an Human,human
263,77,66.06%,1,This text is most likely written by an Human,human
264,78,74.28%,1,This text is most likely written by an Human,human
265,81,92.14%,1,This text is most likely written by an Human,human
266,82,74.05%,1,This text is most likely written by an Human,human
267,83,67.68%,1,This text is most likely written by an Human,human
268,84,81.44%,1,This text is most likely written by an Human,human
269,85,70.49%,1,This text is most likely written by an Human,human
270,86,90.10%,1,This text is most likely written by an Human,human
271,87,81.59%,1,This text is most likely written by an Human,human
272,88,86.01%,1,This text is most likely written by an Human,human
273,89,74.29%,1,This text is most likely written by an Human,human
274,90,96.34%,1,This text is most likely written by an Human,human
275,91,95.74%,1,This text is most likely written by an Human,human
276,92,59.51%,1,This text is most likely written by an Human,human
277,93,82.84%,1,This text is most likely written by an Human,human
278,94,63.83%,1,This text is most likely written by an Human,human
279,95,85.92%,1,This text is most likely written by an Human,human
280,96001,71.52%,1,This text is most likely written by an Human,human
281,96002,59.58%,1,This text is most likely written by an Human,human
282,97,78.23%,1,This text is most likely written by an Human,human
283,98,76.29%,1,This text is most likely written by an Human,human
284,99,65.31%,1,This text is most likely written by an Human,human
285,100,97.94%,1,This text is most likely written by an Human,human
286,101,56.70%,1,This text is most likely written by an Human,human
287,1021,76.54%,1,This text is most likely written by an Human,human
288,1022,69.12%,1,This text is most likely written by an Human,human
289,1032,76.36%,1,This text is most likely written by an Human,human
290,1031,82.52%,1,This text is most likely written by an Human,human
291,1041,84.51%,1,This text is most likely written by an Human,human
292,1042,90.75%,1,This text is most likely written by an Human,human
293,105,84.24%,1,This text is most likely written by an Human,human
294,106,84.13%,1,This text is most likely written by an Human,human
295,107,76.28%,1,This text is most likely written by an Human,human
296,108,87.09%,1,This text is most likely written by an Human,human
297,109,76.31%,1,This text is most likely written by an Human,human
298,110,86.81%,1,This text is most likely written by an Human,human
299,111,79.28%,1,This text is most likely written by an Human,human
300,112,94.69%,1,This text is most likely written by an Human,human
301,113,70.41%,1,This text is most likely written by an Human,human
302,114,78.16%,1,This text is most likely written by an Human,human
303,1141,83.81%,1,This text is most likely written by an Human,human
304,115,82.72%,1,This text is most likely written by an Human,human
305,1151,53.30%,1,This text is most likely written by an Human,human
306,116,80.42%,1,This text is most likely written by an Human,human
307,117,83.37%,1,This text is most likely written by an Human,human
308,118,85.25%,1,This text is most likely written by an Human,human
309,119,71.64%,1,This text is most likely written by an Human,human
310,120,77.98%,1,This text is most likely written by an Human,human
311,121,83.26%,1,This text is most likely written by an Human,human
312,122,67.96%,1,This text is most likely written by an Human,human
313,123,80.11%,1,This text is most likely written by an Human,human
314,124,83.22%,1,This text is most likely written by an Human,human
315,125,92.02%,1,This text is most likely written by an Human,human
316,126,86.48%,1,This text is most likely written by an Human,human
317,127,88.05%,1,This text is most likely written by an Human,human
318,128,78.40%,1,This text is most likely written by an Human,human
319,129,78.61%,1,This text is most likely written by an Human,human
320,130,90.53%,1,This text is most likely written by an Human,human
321,131,89.45%,1,This text is most likely written by an Human,human
322,132,87.52%,1,This text is most likely written by an Human,human
323,133,81.92%,1,This text is most likely written by an Human,human
324,134,92.64%,1,This text is most likely written by an Human,human
325,135,74.22%,1,This text is most likely written by an Human,human
326,137,87.67%,1,This text is most likely written by an Human,human
327,136,77.14%,1,This text is most likely written by an Human,human
328,138,73.07%,1,This text is most likely written by an Human,human
329,139,79.46%,1,This text is most likely written by an Human,human
330,140,80.39%,1,This text is most likely written by an Human,human
331,141,73.07%,1,This text is most likely written by an Human,human
332,1421,77.46%,1,This text is most likely written by an Human,human
333,1422,76.46%,1,This text is most likely written by an Human,human
334,143,70.91%,1,This text is most likely written by an Human,human
335,144,74.63%,1,This text is most likely written by an Human,human
336,145,75.19%,1,This text is most likely written by an Human,human
337,146,96.87%,1,This text is most likely written by an Human,human
338,147,86.87%,1,This text is most likely written by an Human,human
339,148,81.88%,1,This text is most likely written by an Human,human
340,1491,88.60%,1,This text is most likely written by an Human,human
341,1492,96.57%,1,This text is most likely written by an Human,human
342,150,84.15%,1,This text is most likely written by an Human,human
343,1511,88.55%,1,This text is most likely written by an Human,human
344,1512,95.04%,1,This text is most likely written by an Human,human
345,152,87.33%,1,This text is most likely written by an Human,human
346,1531,59.91%,1,This text is most likely written by an Human,human
347,1532,77.05%,1,This text is most likely written by an Human,human
348,154,86.66%,1,This text is most likely written by an Human,human
349,155,88.79%,1,This text is most likely written by an Human,human
350,156,77.02%,1,This text is most likely written by an Human,human
351,157,58.60%,1,This text is most likely written by an Human,human
352,158,68.63%,1,This text is most likely written by an Human,human
353,159,70.90%,1,This text is most likely written by an Human,human
354,160,85.07%,1,This text is most likely written by an Human,human
355,161,65.04%,1,This text is most likely written by an Human,human
356,162,82.75%,1,This text is most likely written by an Human,human
357,163,82.29%,1,This text is most likely written by an Human,human
358,164,75.19%,1,This text is most likely written by an Human,human
359,165,55.38%,1,This text is most likely written by an Human,human
360,166,81.28%,1,This text is most likely written by an Human,human
361,167,81.10%,1,This text is most likely written by an Human,human
362,168,92.77%,1,This text is most likely written by an Human,human
363,169,86.25%,1,This text is most likely written by an Human,human
