,sr_no,prob,label,desc
169,27,56.58%,0,This text is most likely generated by an A.I.
170,131,52.45%,1,This text is most likely written by an Human
171,149,50.88%,0,This text is most likely generated by an A.I.
172,139,52.37%,1,This text is most likely written by an Human
173,18,71.75%,0,This text is most likely generated by an A.I.
174,21,55.59%,0,This text is most likely generated by an A.I.
175,134,51.86%,1,This text is most likely written by an Human
176,26,50.84%,0,This text is most likely generated by an A.I.
177,14,63.61%,0,This text is most likely generated by an A.I.
178,25,57.49%,1,This text is most likely written by an Human
179,132,53.65%,0,This text is most likely generated by an A.I.
180,152,75.00%,0,This text is most likely generated by an A.I.
181,16,51.16%,0,This text is most likely generated by an A.I.
182,151,59.14%,0,This text is most likely generated by an A.I.
183,19,53.25%,0,This text is most likely generated by an A.I.
184,5,54.55%,0,This text is most likely generated by an A.I.
185,62,68.87%,0,This text is most likely generated by an A.I.
186,45,53.19%,1,This text is most likely written by an Human
187,59,53.74%,1,This text is most likely written by an Human
188,55,50.84%,1,This text is most likely written by an Human
189,50,73.03%,0,This text is most likely generated by an A.I.
190,52,56.42%,0,This text is most likely generated by an A.I.
191,46,54.94%,0,This text is most likely generated by an A.I.
192,43,60.49%,0,This text is most likely generated by an A.I.
193,40,55.19%,0,This text is most likely generated by an A.I.
194,36,53.03%,0,This text is most likely generated by an A.I.
195,49,67.74%,0,This text is most likely generated by an A.I.
196,37,60.19%,1,This text is most likely written by an Human
197,53,63.78%,0,This text is most likely generated by an A.I.
198,58,71.84%,0,This text is most likely generated by an A.I.
199,56,51.59%,0,This text is most likely generated by an A.I.
200,51,56.11%,0,This text is most likely generated by an A.I.
201,60,76.41%,0,This text is most likely generated by an A.I.
202,41,50.21%,1,This text is most likely written by an Human
203,44,68.51%,0,This text is most likely generated by an A.I.
204,48,54.15%,0,This text is most likely generated by an A.I.
205,61,62.26%,1,This text is most likely written by an Human
206,3,55.87%,0,This text is most likely generated by an A.I.
207,57,55.45%,0,This text is most likely generated by an A.I.
208,47,59.75%,1,This text is most likely written by an Human
209,35,67.52%,0,This text is most likely generated by an A.I.
210,42,74.14%,0,This text is most likely generated by an A.I.
211,6,50.53%,1,This text is most likely written by an Human
212,72,63.92%,0,This text is most likely generated by an A.I.
213,84,52.06%,1,This text is most likely written by an Human
214,83,56.00%,0,This text is most likely generated by an A.I.
215,76,57.23%,1,This text is most likely written by an Human
216,71,54.09%,0,This text is most likely generated by an A.I.
217,78,61.63%,0,This text is most likely generated by an A.I.
218,69,52.02%,0,This text is most likely generated by an A.I.
219,8,60.13%,0,This text is most likely generated by an A.I.
220,70,52.09%,0,This text is most likely generated by an A.I.
221,87,52.28%,1,This text is most likely written by an Human
222,86,59.12%,1,This text is most likely written by an Human
223,89,60.26%,0,This text is most likely generated by an A.I.
224,82,54.42%,1,This text is most likely written by an Human
225,80,51.31%,1,This text is most likely written by an Human
226,63,50.54%,0,This text is most likely generated by an A.I.
227,79,55.01%,1,This text is most likely written by an Human
228,75,64.81%,0,This text is most likely generated by an A.I.
229,68,51.62%,1,This text is most likely written by an Human
230,85,54.74%,0,This text is most likely generated by an A.I.
231,64,54.91%,1,This text is most likely written by an Human
232,66,50.98%,0,This text is most likely generated by an A.I.
233,65,65.05%,0,This text is most likely generated by an A.I.
234,88,58.52%,0,This text is most likely generated by an A.I.
235,74,68.65%,0,This text is most likely generated by an A.I.
236,67,69.91%,0,This text is most likely generated by an A.I.
237,73,64.30%,1,This text is most likely written by an Human
238,7,53.92%,1,This text is most likely written by an Human
239,81,59.52%,1,This text is most likely written by an Human
240,77,60.44%,0,This text is most likely generated by an A.I.
241,90,50.94%,0,This text is most likely generated by an A.I.
242,95,57.85%,0,This text is most likely generated by an A.I.
243,91,58.61%,0,This text is most likely generated by an A.I.
244,92,61.43%,0,This text is most likely generated by an A.I.
245,99,56.41%,0,This text is most likely generated by an A.I.
246,96,54.86%,1,This text is most likely written by an Human
247,94,63.92%,0,This text is most likely generated by an A.I.
248,97,67.72%,0,This text is most likely generated by an A.I.
249,93,56.53%,1,This text is most likely written by an Human
250,9,57.20%,0,This text is most likely generated by an A.I.
251,98,66.74%,0,This text is most likely generated by an A.I.
